stage,stage_reason,title,category_hint,file_type,size_mb,priority,candidate_path
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,면접특강 by 상근쌤,상담_학부모,pdf,7.47,3,/Volumes/Untitled/업로드 후보_v2/기타/면접특강_by_상근쌤.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,2025 찾아가는 학부모 고입진로설명회 자료집(게시용),상담_학부모,pdf,7.24,3,/Volumes/Untitled/업로드 후보_v2/기타/2025_찾아가는_학부모_고입진로설명회_자료집(게시용).pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,초등 깊이있는 수업이야기 다함께 나누다 8월호,수업_교재,pdf,67.98,3,/Volumes/Untitled/업로드 후보_v2/기타/초등_깊이있는_수업이야기_다함께_나누다_8월호.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,[모두의 진로] 학생용 워크북 중학교 수정본,수업_교재,pdf,36.22,3,/Volumes/Untitled/업로드 후보_v2/기타/[모두의_진로]_학생용_워크북_중학교_수정본.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,허재성대표님 강의 2주차,수업_교재,pdf,28.47,3,/Volumes/Untitled/업로드 후보_v2/기타/허재성대표님_강의_2주차.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,[경상북도교육쳥] 중학교 경제교육 학습자료(2022),수업_교재,pdf,28.11,3,/Volumes/Untitled/업로드 후보_v2/기타/[경상북도교육쳥]_중학교_경제교육_학습자료(2022).pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,한국학원대 - 기적의 암기법 강의자료,수업_교재,pdf,26.39,3,/Volumes/Untitled/업로드 후보_v2/기타/한국학원대_-_기적의_암기법_강의자료.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,초등미술 3학년 교과서활동지모음집(최종) - 웹용,수업_교재,pdf,23.06,3,/Volumes/Untitled/업로드 후보_v2/기타/초등미술_3학년_교과서활동지모음집(최종)_-_웹용.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,2025 중등 교과별 논술형 평가 문항(과학),수업_교재,pdf,20.75,3,/Volumes/Untitled/업로드 후보_v2/기타/2025_중등_교과별_논술형_평가_문항(과학).pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,2025 중등 교과별 논술형 평가 문항(사회),수업_교재,pdf,18.88,3,/Volumes/Untitled/업로드 후보_v2/기타/2025_중등_교과별_논술형_평가_문항(사회).pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,초등미술 4학년 교과서활동지모음집(최종) - 웹용,수업_교재,pdf,13.79,3,/Volumes/Untitled/업로드 후보_v2/기타/초등미술_4학년_교과서활동지모음집(최종)_-_웹용.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,1-2. 과목 선택 지도,수업_교재,pdf,11.84,3,/Volumes/Untitled/업로드 후보_v2/기타/1-2._과목_선택_지도.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,2025 중등 교과별 논술형 평가 문항(수학),수업_교재,pdf,11.18,3,/Volumes/Untitled/업로드 후보_v2/기타/2025_중등_교과별_논술형_평가_문항(수학).pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,2025 중등 교과별 논술형 평가 문항(영어),수업_교재,pdf,10.58,3,/Volumes/Untitled/업로드 후보_v2/기타/2025_중등_교과별_논술형_평가_문항(영어).pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,2025 중등 교과별 논술형 평가 문항(국어),수업_교재,pdf,10.32,3,/Volumes/Untitled/업로드 후보_v2/기타/2025_중등_교과별_논술형_평가_문항(국어).pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,기계공학과 지망생을 위한 학년별 과목 선택 완벽 가이드 NotebookLM Slide,수업_교재,pdf,9.87,3,/Volumes/Untitled/업로드 후보_v2/기타/기계공학과_지망생을_위한_학년별_과목_선택_완벽_가이드_NotebookLM_Slide.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,깊이있는 수업 소식 다함께 나누다(vol 3) 10월호,수업_교재,pdf,8.50,3,/Volumes/Untitled/업로드 후보_v2/기타/깊이있는_수업_소식_다함께_나누다(vol_3)_10월호.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,교과서를 활용한 탐구활동,수업_교재,pdf,7.58,3,/Volumes/Untitled/업로드 후보_v2/기타/교과서를_활용한_탐구활동.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,(250422)2025. 학교생활기록부 기재 역량강화 연수 강의원고(중마고 박서영),수업_교재,pdf,7.42,3,/Volumes/Untitled/업로드 후보_v2/기타/(250422)2025._학교생활기록부_기재_역량강화_연수_강의원고(중마고_박서영).pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,57번 샘플 공통수학1 중간 서술형 교재 '주도권',수업_교재,pdf,7.12,3,/Volumes/Untitled/업로드 후보_v2/기타/57번_샘플_공통수학1_중간_서술형_교재_'주도권'.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,워크북 시즌5,수업_교재,pdf,5.86,3,/Volumes/Untitled/업로드 후보_v2/기타/워크북_시즌5.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,2-1.꿈을 디자인하는 진로·진학·직업 로드맵 (중학교) 인천광역시교육청,입시_진학,pdf,65.70,3,/Volumes/Untitled/업로드 후보_v2/기타/2-1.꿈을_디자인하는_진로·진학·직업_로드맵_(중학교)_인천광역시교육청.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,고등학생을 위한 진로연계교육(수능전) 서울특별시교육청,입시_진학,pdf,54.70,3,/Volumes/Untitled/업로드 후보_v2/기타/고등학생을_위한_진로연계교육(수능전)_서울특별시교육청.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,2026 수시 대학별 입학설명회 한양경희동국서강,입시_진학,pdf,49.31,3,/Volumes/Untitled/업로드 후보_v2/기타/2026_수시_대학별_입학설명회_한양경희동국서강.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,2026학년도 광주광역시 고등학교 입학전형 기본계획 설명회(학부모 대상),입시_진학,pdf,40.60,3,/Volumes/Untitled/업로드 후보_v2/기타/2026학년도_광주광역시_고등학교_입학전형_기본계획_설명회(학부모_대상).pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,2026 수시 대학별 입학설명회 이화성균중앙건국,입시_진학,pdf,25.85,3,/Volumes/Untitled/업로드 후보_v2/기타/2026_수시_대학별_입학설명회_이화성균중앙건국.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,김영일교육컨설팅 2026 수시배치표(자연1면),입시_진학,pdf,19.71,3,/Volumes/Untitled/업로드 후보_v2/기타/김영일교육컨설팅_2026_수시배치표(자연1면).pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,내신 대비 이대로만 따라하자!!,입시_진학,pdf,19.52,3,/Volumes/Untitled/업로드 후보_v2/기타/내신_대비_이대로만_따라하자!!.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,오대교대표님강연회& 겨울학기 설명회 기획,입시_진학,hwp,17.25,3,/Volumes/Untitled/업로드 후보_v2/기타/오대교대표님강연회&_겨울학기_설명회_기획.hwp
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,2026음악대학입시의이해,입시_진학,pdf,17.18,3,/Volumes/Untitled/업로드 후보_v2/기타/2026음악대학입시의이해.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,2025학년도 울산교육청 대입 수시 면접후기 자료집,입시_진학,pdf,17.02,3,/Volumes/Untitled/업로드 후보_v2/기타/2025학년도_울산교육청_대입_수시_면접후기_자료집.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,2028학년도 대학입학전형기본사항 한국대학교육협의회 by Google NotebookLM Slide 요약 20251205 작업,입시_진학,pdf,16.34,3,/Volumes/Untitled/업로드 후보_v2/기타/2028학년도_대학입학전형기본사항_한국대학교육협의회_by_Google_NotebookLM_Slide_요약_20251205_작업.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,[이투스 교육평가연구소] 학부모입시교실 자료집 24년 개정판(배포용) 20250310,입시_진학,pdf,15.73,3,/Volumes/Untitled/업로드 후보_v2/기타/[이투스_교육평가연구소]_학부모입시교실_자료집_24년_개정판(배포용)_20250310.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,대입 정보 매거진 2025년 12월호 vol135,입시_진학,pdf,15.52,3,/Volumes/Untitled/업로드 후보_v2/기타/대입_정보_매거진_2025년_12월호_vol135.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,쎈(SEN)진학 2025학년도 고1 2학년 진학지도 자료집 서울특별시교육청교육연구정보원,입시_진학,pdf,15.23,3,/Volumes/Untitled/업로드 후보_v2/기타/쎈(SEN)진학_2025학년도_고1_2학년_진학지도_자료집_서울특별시교육청교육연구정보원.pdf
즉시 게시,핵심 카테고리 + 문서형으로 즉시 활용 가능,쎈(SEN)진학 2025학년도 고1 2학년 진학지도 자료집,입시_진학,pdf,14.97,3,/Volumes/Untitled/업로드 후보_v2/기타/쎈(SEN)진학_2025학년도_고1_2학년_진학지도_자료집.pdf
