batch_no,order_in_batch,source,title,category_hint,file_type,size_mb,candidate_path
batch_3,2,wave1,3. 2025 전남교육청 의대전략및MMI이해(제출),입시_진학,pdf,5.14,/Volumes/Untitled/업로드 후보_v2/기타/3._2025_전남교육청_의대전략및MMI이해(제출).pdf
batch_3,3,wave1,22개정 중학 국어1 토의토론배움깊이더하기자료집(교사용),정책_공문,pdf,5.62,/Volumes/Untitled/업로드 후보_v2/기타/22개정_중학_국어1_토의토론배움깊이더하기자료집(교사용).pdf
batch_3,4,wave1,3 v0721 바이오리포트 빅데이터 최종,데이터_분석,pdf,7.74,/Volumes/Untitled/업로드 후보_v2/기타/3_v0721_바이오리포트_빅데이터_최종.pdf
batch_3,5,wave1,학부모연수 2교시 김재선 학생성공시대를 실현하는 학생 선택 교육과정의 이해와 실제,상담_학부모,pdf,8.55,/Volumes/Untitled/업로드 후보_v2/기타/학부모연수_2교시_김재선_학생성공시대를_실현하는_학생_선택_교육과정의_이해와_실제.pdf
batch_3,6,promoted30,이세돌 전 바둑기사 인공지능도 이기는 멘탈 갖추는 법 by 지식인사이드 20250118,수업_교재,pdf,5.96,/Volumes/Untitled/업로드 후보_v2/기타/이세돌_전_바둑기사_인공지능도_이기는_멘탈_갖추는_법_by_지식인사이드_from_Youtube_to_Gamma_20250118.pdf
batch_3,7,wave1,최종 수능대비 수1수2미적 기본공식,입시_진학,pdf,5.40,/Volumes/Untitled/업로드 후보_v2/기타/최종_수능대비_수1수2미적_기본공식.pdf
batch_3,8,wave1,2025학년도 예비 고1 학부모 대상 고등학교 교육과정 및 고교학점제 연수 자료 부산진고 이창현 교사 부산광역시교육청 고교학점제 지원센터,정책_공문,pdf,5.84,/Volumes/Untitled/업로드 후보_v2/기타/2025학년도_예비_고1_학부모_대상_고등학교_교육과정_및_고교학점제_연수_자료_부산진고_이창현_교사_부산광역시교육청_고교학점제_지원센터.pdf
batch_3,9,wave1,초등학교 학부모 수학 가이드북(2학년2학기) (2),상담_학부모,pdf,20.41,/Volumes/Untitled/업로드 후보_v2/기타/초등학교_학부모_수학_가이드북(2학년2학기)_(2).pdf
batch_3,10,promoted30,빅뱅에서 고대 문명까지 지구와 인류의 초기 역사 개관 by 쏨작가의 지식사전 20200929,수업_교재,pdf,6.38,/Volumes/Untitled/업로드 후보_v2/기타/빅뱅에서_고대_문명까지_지구와_인류의_초기_역사_개관_by_쏨작가의_지식사전_from_Youtube_to_Gamma_20200929.pdf
batch_3,11,wave1,최종 수능대비 수1수2확통 기본공식,입시_진학,pdf,6.13,/Volumes/Untitled/업로드 후보_v2/기타/최종_수능대비_수1수2확통_기본공식.pdf
batch_3,12,wave1,[광주시교육청] 빛고을 진로학업설계서 (2025),정책_공문,pdf,6.61,/Volumes/Untitled/업로드 후보_v2/기타/[광주시교육청]_빛고을_진로학업설계서_(2025).pdf
batch_3,13,wave1,57번 샘플 공통수학1 중간 서술형 교재 '주도권',수업_교재,pdf,7.12,/Volumes/Untitled/업로드 후보_v2/기타/57번_샘플_공통수학1_중간_서술형_교재_'주도권'.pdf
batch_3,14,wave1,2024 학부모 질문·진학 Q&A 100선 요약 1장 2022 개정 교육과정 및 정책 by 세종특별자치시교육청 진로교육원,입시_진학,pdf,6.70,/Volumes/Untitled/업로드 후보_v2/기타/2024_학부모_질문·진학_Q&A_100선_요약_1장_2022_개정_교육과정_및_정책_by_세종특별자치시교육청_진로교육원_from_PDF_to_Gamma.pdf
batch_3,15,wave1,교과서를 활용한 탐구활동,수업_교재,pdf,7.58,/Volumes/Untitled/업로드 후보_v2/기타/교과서를_활용한_탐구활동.pdf
batch_3,16,promoted30,외국보다 더 멋진 대한민국 여행지 5곳 by 여행 브로셔 20230507,수업_교재,pdf,7.81,/Volumes/Untitled/업로드 후보_v2/기타/외국보다_더_멋진_대한민국_여행지_5곳_by_여행_브로셔_from_Youtube_to_Gamma_20230507.pdf
batch_3,17,promoted30,2025 KB골든라이프 보고서,수업_교재,pdf,8.22,/Volumes/Untitled/업로드 후보_v2/기타/2025_KB골든라이프_보고서.pdf
batch_3,18,promoted30,Sam Altman Thinks-We Need To Change Our Social Contract 인공지능 시대의 사회 계약 변화 20250205,수업_교재,pdf,8.41,/Volumes/Untitled/업로드 후보_v2/기타/Sam_Altman_Thinks-We_Need_To_Change_Our_Social_Contract_인공지능_시대의_사회_계약_변화_from_Youtube_to_Gamma_20250205.pdf
batch_3,19,promoted30,20231216 블랙홀 김창석,수업_교재,pdf,8.86,/Volumes/Untitled/업로드 후보_v2/기타/20231216_블랙홀_김창석.pdf
batch_4,1,promoted30,2024 통일의식 조사 서울대학교 통일평화연구원 20241130,수업_교재,pdf,5.54,/Volumes/Untitled/업로드 후보_v2/기타/2024_통일의식_조사_서울대학교_통일평화연구원_20241130.pdf
batch_4,2,wave1,김영일교육컨설팅 2026 수시배치표(인문1면),입시_진학,pdf,5.18,/Volumes/Untitled/업로드 후보_v2/기타/김영일교육컨설팅_2026_수시배치표(인문1면).pdf
batch_4,3,wave1,2022개정 한눈에 보는 진로 자료 모음집(중고공통),정책_공문,pdf,5.63,/Volumes/Untitled/업로드 후보_v2/기타/2022개정_한눈에_보는_진로_자료_모음집(중고공통).pdf
batch_4,4,wave1,NEW 태재대학교 2026입학설명회 20251201,상담_학부모,pdf,12.19,/Volumes/Untitled/업로드 후보_v2/기타/NEW_태재대학교_2026입학설명회_20251201.pdf
batch_4,5,promoted30,9 v0721 바이오리포트 기타 최종,수업_교재,pdf,6.07,/Volumes/Untitled/업로드 후보_v2/기타/9_v0721_바이오리포트_기타_최종.pdf
batch_4,6,wave1,(강좌3) 어디가를 활용한 진로진학설계 방안,입시_진학,pdf,5.48,/Volumes/Untitled/업로드 후보_v2/기타/(강좌3)_어디가를_활용한_진로진학설계_방안.pdf
batch_4,7,wave1,[서울]2025학년도 2022 개정 교육과정 선택 과목 안내서(낱장) (250529),정책_공문,pdf,5.84,/Volumes/Untitled/업로드 후보_v2/기타/[서울]2025학년도_2022_개정_교육과정_선택_과목_안내서(낱장)_(250529).pdf
batch_4,8,wave1,초등학교 학부모 수학 가이드북(3학년1학기) (2),상담_학부모,pdf,20.64,/Volumes/Untitled/업로드 후보_v2/기타/초등학교_학부모_수학_가이드북(3학년1학기)_(2).pdf
batch_4,9,promoted30,4 v0721 바이오리포트 인체건강 최종,수업_교재,pdf,6.57,/Volumes/Untitled/업로드 후보_v2/기타/4_v0721_바이오리포트_인체건강_최종.pdf
batch_4,10,wave1,쎈(SEN)진학 2026 정시 대학별분석2 국가거점국립대학교 책갈피 추가 by 훈선생,입시_진학,pdf,6.25,/Volumes/Untitled/업로드 후보_v2/기타/쎈(SEN)진학_2026_정시_대학별분석2_국가거점국립대학교_책갈피_추가_by_훈선생.pdf
batch_4,11,wave1,[교육부] 진로연계교육 설계를 위한 디딤돌안내서 (고등학교),정책_공문,pdf,6.69,/Volumes/Untitled/업로드 후보_v2/기타/[교육부]_진로연계교육_설계를_위한_디딤돌안내서_(고등학교).pdf
batch_4,12,promoted30,붙임 5극3특 국가균형성장 추진전략 설계도안(요약+전체) (1),수업_교재,hwp,7.18,/Volumes/Untitled/업로드 후보_v2/기타/붙임_5극3특_국가균형성장_추진전략_설계도안(요약+전체)_(1).hwpx
batch_4,13,promoted30,서울대 학생들의 과탐 선택 가이드 by 스튜디오 샤 20250218,수업_교재,pdf,7.65,/Volumes/Untitled/업로드 후보_v2/기타/서울대_학생들의_과탐_선택_가이드_by_스튜디오_샤_from_Youtube_to_Gamma_20250218.pdf
batch_4,14,promoted30,대학입학 용어사전,수업_교재,pdf,7.91,/Volumes/Untitled/업로드 후보_v2/기타/대학입학_용어사전.pdf
batch_4,15,promoted30,2025 디지털 튜터 업무길라잡이,수업_교재,pdf,8.32,/Volumes/Untitled/업로드 후보_v2/기타/2025_디지털_튜터_업무길라잡이.pdf
batch_4,16,wave1,깊이있는 수업 소식 다함께 나누다(vol 3) 10월호,수업_교재,pdf,8.50,/Volumes/Untitled/업로드 후보_v2/기타/깊이있는_수업_소식_다함께_나누다(vol_3)_10월호.pdf
batch_4,17,wave1,기계공학과 지망생을 위한 학년별 과목 선택 완벽 가이드 NotebookLM Slide,수업_교재,pdf,9.87,/Volumes/Untitled/업로드 후보_v2/기타/기계공학과_지망생을_위한_학년별_과목_선택_완벽_가이드_NotebookLM_Slide.pdf
