path,filename,ext,size_bytes,category_hint
"/Volumes/Untitled/업로드 전/(C강좌 2차시) 2026 대입전형의 이해와 지원전략(상반기진학지도역량연수).pdf","(C강좌 2차시) 2026 대입전형의 이해와 지원전략(상반기진학지도역량연수).pdf",pdf,8119371,"기타"
"/Volumes/Untitled/업로드 전/(D강좌 1차시) 2028학년도 대입제도 개편의 이해와 준비.pdf","(D강좌 1차시) 2028학년도 대입제도 개편의 이해와 준비.pdf",pdf,5885687,"기타"
"/Volumes/Untitled/업로드 전/(EBSi)2028학년도 고1를 위한 입시자료집.pdf","(EBSi)2028학년도 고1를 위한 입시자료집.pdf",pdf,4371164,"기타"
"/Volumes/Untitled/업로드 전/(Long)문화자본_사회불평등의 숨겨진 메커니즘_by Chat GPT Deep Research Report to Gamma_20250820.pdf","(Long)문화자본_사회불평등의 숨겨진 메커니즘_by Chat GPT Deep Research Report to Gamma_20250820.pdf",pdf,3418187,"기타"
"/Volumes/Untitled/업로드 전/(PPT 파일)고교학점제 도입으로 달라지는 고등학교 생활.pptx","(PPT 파일)고교학점제 도입으로 달라지는 고등학교 생활.pptx",pptx,19987983,"기타"
"/Volumes/Untitled/업로드 전/[🏧입.금] [250620 Live] 28 권장 이수 과목과 22 개정_by 이투스교육평가연구소_from Yotube to Lilys_20250620.pdf","[🏧입.금] [250620 Live] 28 권장 이수 과목과 22 개정_by 이투스교육평가연구소_from Yotube to Lilys_20250620.pdf",pdf,796614,"기타"
"/Volumes/Untitled/업로드 전/[28수능-인문] 인격의 통시적 동일성에 대한 철학적 논쟁-해제와 독해법 출제요소.hwp","[28수능-인문] 인격의 통시적 동일성에 대한 철학적 논쟁-해제와 독해법 출제요소.hwp",hwp,149504,"기타"
"/Volumes/Untitled/업로드 전/[2025]고1-2학기_중간대비_기출_모음(도형의방정식~집합)-대전지역기출(2024대전지역기출)_-_205문.hwp","[2025]고1-2학기_중간대비_기출_모음(도형의방정식~집합)-대전지역기출(2024대전지역기출)_-_205문.hwp",hwp,2974208,"기타"
"/Volumes/Untitled/업로드 전/[2026]면접 이것만은 꼭 보자(덕원여고 김상근).pdf","[2026]면접 이것만은 꼭 보자(덕원여고 김상근).pdf",pdf,4337065,"기타"
"/Volumes/Untitled/업로드 전/[2026학년도][대학수학능력시험][인피니트수학연구소] 수특수완실모연계문항.pdf","[2026학년도][대학수학능력시험][인피니트수학연구소] 수특수완실모연계문항.pdf",pdf,1086622,"기타"
"/Volumes/Untitled/업로드 전/[2026학년도][인피니트수학연구소][대학수학능력시험 분석지].pdf","[2026학년도][인피니트수학연구소][대학수학능력시험 분석지].pdf",pdf,6497808,"기타"
"/Volumes/Untitled/업로드 전/[12510학평-과학] 적외선센서의 원리와 응용(완)-셈플배포용.hwpx","[12510학평-과학] 적외선센서의 원리와 응용(완)-셈플배포용.hwpx",hwpx,2926504,"기타"
"/Volumes/Untitled/업로드 전/[경기도교육청] 2025년 STUDY PLANNER 속지.zip","[경기도교육청] 2025년 STUDY PLANNER 속지.zip",zip,5613277,"기타"
"/Volumes/Untitled/업로드 전/[경남교육청] 2026학년도 대입 수시 달력.pdf","[경남교육청] 2026학년도 대입 수시 달력.pdf",pdf,616266,"기타"
"/Volumes/Untitled/업로드 전/[경상남도교육청] 학점기반 교육과정 설계운영을 위한 연수자료 (2025).pdf","[경상남도교육청] 학점기반 교육과정 설계운영을 위한 연수자료 (2025).pdf",pdf,6654627,"기타"
"/Volumes/Untitled/업로드 전/[경상북도교육청] 고등학교 경제교육 교수학습자료(2022).pdf","[경상북도교육청] 고등학교 경제교육 교수학습자료(2022).pdf",pdf,13437127,"기타"
"/Volumes/Untitled/업로드 전/[경상북도교육청] 중학교 가는 길.pdf","[경상북도교육청] 중학교 가는 길.pdf",pdf,10277368,"기타"
"/Volumes/Untitled/업로드 전/[경상북도교육쳥] 중학교 경제교육 학습자료(2022).pdf","[경상북도교육쳥] 중학교 경제교육 학습자료(2022).pdf",pdf,29475295,"기타"
"/Volumes/Untitled/업로드 전/[경희대]의약학계 모의논술고사(물리) 해설.pdf","[경희대]의약학계 모의논술고사(물리) 해설.pdf",pdf,164693,"기타"
"/Volumes/Untitled/업로드 전/[경희대]의약학계 모의논술고사(생명) 해설.pdf","[경희대]의약학계 모의논술고사(생명) 해설.pdf",pdf,94963,"기타"
"/Volumes/Untitled/업로드 전/[경희대]의약학계 모의논술고사(생명).pdf","[경희대]의약학계 모의논술고사(생명).pdf",pdf,280351,"기타"
"/Volumes/Untitled/업로드 전/[경희대]의약학계 모의논술고사(화학) 해설.pdf","[경희대]의약학계 모의논술고사(화학) 해설.pdf",pdf,335890,"기타"
"/Volumes/Untitled/업로드 전/[경희대]의약학계 모의논술고사(화학).pdf","[경희대]의약학계 모의논술고사(화학).pdf",pdf,326501,"기타"
"/Volumes/Untitled/업로드 전/[고등학교][신입생]고교학점제와 학생부 차별화 전략_학남고 은동현(배포용).pdf","[고등학교][신입생]고교학점제와 학생부 차별화 전략_학남고 은동현(배포용).pdf",pdf,7685807,"기타"
"/Volumes/Untitled/업로드 전/[고등학교]고교학점제와 학생부 차별화 전략_학남고 은동현(배포용).pdf","[고등학교]고교학점제와 학생부 차별화 전략_학남고 은동현(배포용).pdf",pdf,10069557,"기타"
"/Volumes/Untitled/업로드 전/[광주시교육청] 빛고을 진로학업설계서 (2025).pdf","[광주시교육청] 빛고을 진로학업설계서 (2025).pdf",pdf,6932878,"기타"
"/Volumes/Untitled/업로드 전/[교과서] 고등 독서와 작문 - 해냄에듀.vol1.egg","[교과서] 고등 독서와 작문 - 해냄에듀.vol1.egg",egg,52428800,"기타"
"/Volumes/Untitled/업로드 전/[교과서] 고등 독서와 작문 - 해냄에듀.vol2.egg","[교과서] 고등 독서와 작문 - 해냄에듀.vol2.egg",egg,32833910,"기타"
"/Volumes/Untitled/업로드 전/[교육부 06-30(월) 조간보도자료] 2025년 6월 대학정보공시 분석 결과 발표.pdf","[교육부 06-30(월) 조간보도자료] 2025년 6월 대학정보공시 분석 결과 발표.pdf",pdf,1153359,"기타"
"/Volumes/Untitled/업로드 전/[교육부 09-09(화) 조간보도자료]2026학년도 대학수학능력시험 응시원서 접수 결과.pdf","[교육부 09-09(화) 조간보도자료]2026학년도 대학수학능력시험 응시원서 접수 결과.pdf",pdf,168330,"기타"
"/Volumes/Untitled/업로드 전/[교육부 09-29(월) 조간보도자료] 국가균형성장을 위한 지방대 혁신모델 7개 신규 선정_20250930.pdf","[교육부 09-29(월) 조간보도자료] 국가균형성장을 위한 지방대 혁신모델 7개 신규 선정_20250930.pdf",pdf,1070478,"기타"
"/Volumes/Untitled/업로드 전/[교육부 11-28(금) 조간보도자료] 2025 초중등 진로교육 현황조사 결과 발표.pdf","[교육부 11-28(금) 조간보도자료] 2025 초중등 진로교육 현황조사 결과 발표.pdf",pdf,881788,"기타"
"/Volumes/Untitled/업로드 전/[교육부 12-05(금) 조간보도자료] 2026학년도 대학수학능력시험 채점 결과 발표.pdf","[교육부 12-05(금) 조간보도자료] 2026학년도 대학수학능력시험 채점 결과 발표.pdf",pdf,342257,"기타"
"/Volumes/Untitled/업로드 전/[교육부 조간보도자료] 2026학년도 대학수학능력시험 채점 결과 발표.pdf","[교육부 조간보도자료] 2026학년도 대학수학능력시험 채점 결과 발표.pdf",pdf,342257,"기타"
"/Volumes/Untitled/업로드 전/[교육부_11-13(목)_즉시보도자료]_2025학년도_대학수학능력시험_출제_방향.pdf","[교육부_11-13(목)_즉시보도자료]_2025학년도_대학수학능력시험_출제_방향.pdf",pdf,335184,"기타"
"/Volumes/Untitled/업로드 전/[교육부] 진로기초 교육프로그램 고등학생용 워크북.pdf","[교육부] 진로기초 교육프로그램 고등학생용 워크북.pdf",pdf,1973488,"기타"
"/Volumes/Untitled/업로드 전/[교육부] 진로연계교육 설계를 위한 디딤돌안내서 (고등학교).pdf","[교육부] 진로연계교육 설계를 위한 디딤돌안내서 (고등학교).pdf",pdf,7014084,"기타"
"/Volumes/Untitled/업로드 전/[교육부] 진로연계교육 설계를 위한 디딤돌안내서 (중학교).pdf","[교육부] 진로연계교육 설계를 위한 디딤돌안내서 (중학교).pdf",pdf,7063942,"기타"
"/Volumes/Untitled/업로드 전/[교육부+04-17(목)+브리핑시(13시)+보도자료]+2026학년도+의과대학+모집인원+조정+방향+발표_2025_04_18_06_39_12.hwpx","[교육부+04-17(목)+브리핑시(13시)+보도자료]+2026학년도+의과대학+모집인원+조정+방향+발표_2025_04_18_06_39_12.hwpx",hwpx,431542,"기타"
"/Volumes/Untitled/업로드 전/[교육부+11-10(월)+브리핑시(14시)+보도자료]+(별첨)모두를+위한+AI+인재양성방안.hwpx","[교육부+11-10(월)+브리핑시(14시)+보도자료]+(별첨)모두를+위한+AI+인재양성방안.hwpx",hwpx,1505305,"기타"
"/Volumes/Untitled/업로드 전/[교육부+11-10(월)+브리핑시(14시)+보도자료]+모두를+위한+인공지능(AI)+인재양성+방안+발표.hwpx","[교육부+11-10(월)+브리핑시(14시)+보도자료]+모두를+위한+인공지능(AI)+인재양성+방안+발표.hwpx",hwpx,797452,"기타"
