wave,title,category_hint,file_type,size_mb,candidate_path
wave2,서논술형 평가 도구 개발의 방법과 사례 사회 교과 '정보화와 인권의 확장' 사례 교육부 외,정책_공문,pdf,9.28,/Volumes/Untitled/업로드 후보_v2/기타/서논술형_평가_도구_개발의_방법과_사례_사회_교과_'정보화와_인권의_확장'_사례_교육부_외.pdf
wave2,서논술형 평가 도구 개발의 방법과 사례 사회 교과와 과학 교과의 평가 공통점과 차이점 분석 교육부 외,정책_공문,pdf,9.38,/Volumes/Untitled/업로드 후보_v2/기타/서논술형_평가_도구_개발의_방법과_사례_사회_교과와_과학_교과의_평가_공통점과_차이점_분석_교육부_외.pdf
wave2,BioINglobal[No.86] 합성생물학의 미래 정책 과제와 혁신 기회,정책_공문,pdf,9.39,/Volumes/Untitled/업로드 후보_v2/기타/BioINglobal[No.86]_합성생물학의_미래_정책_과제와_혁신_기회.pdf
wave2,서논술형 평가 도구 개발의 방법과 사례 교과 공통 평가 기준과 요소 분석 교육부 & 한국교육과정평가원 외,정책_공문,pdf,9.41,/Volumes/Untitled/업로드 후보_v2/기타/서논술형_평가_도구_개발의_방법과_사례_교과_공통_평가_기준과_요소_분석_교육부_&_한국교육과정평가원_외.pdf
wave2,[경상북도교육청] 중학교 가는 길,정책_공문,pdf,9.80,/Volumes/Untitled/업로드 후보_v2/기타/[경상북도교육청]_중학교_가는_길.pdf
wave2,[충청남도교육청] 2026학년도 제시문기반 면접대비 자료집(과학),정책_공문,pdf,9.92,/Volumes/Untitled/업로드 후보_v2/기타/[충청남도교육청]_2026학년도_제시문기반_면접대비_자료집(과학).pdf
wave2,2025 신입생 학부모교육자료집《중학교》 경기도교육청,정책_공문,pdf,9.96,/Volumes/Untitled/업로드 후보_v2/기타/2025_신입생_학부모교육자료집《중학교》_경기도교육청.pdf
wave2,2025년 신입생 학부모를 위한 중학교 안내서 경기도교육청,정책_공문,pdf,10.03,/Volumes/Untitled/업로드 후보_v2/기타/2025년_신입생_학부모를_위한_중학교_안내서_경기도교육청.pdf
wave2,2025학년도 학교생활기록부 기재요령 주요 개정사항 연수 강의 자료(중)(배포용자료),정책_공문,pdf,10.61,/Volumes/Untitled/업로드 후보_v2/기타/2025학년도_학교생활기록부_기재요령_주요_개정사항_연수_강의_자료(중)(배포용자료).pdf
wave2,★(중학교)+2022+개정+교육과정+범교과+주제+적용+안내자료 교육부,정책_공문,pdf,10.71,/Volumes/Untitled/업로드 후보_v2/기타/★(중학교)+2022+개정+교육과정+범교과+주제+적용+안내자료_교육부.pdf
wave2,고교학점제 미리보기(학생용 배부자료) 인천광역시교육청 고교학점제 지원센터,정책_공문,pdf,10.97,/Volumes/Untitled/업로드 후보_v2/기타/고교학점제_미리보기(학생용_배부자료)_인천광역시교육청_고교학점제_지원센터.pdf
wave2,경기도교육청 IB 중학교 교육 프로그램(MYP),정책_공문,pdf,11.85,/Volumes/Untitled/업로드 후보_v2/기타/경기도교육청_IB_중학교_교육_프로그램(MYP).pdf
wave2,[경상북도교육청] 고등학교 경제교육 교수학습자료(2022),정책_공문,pdf,12.81,/Volumes/Untitled/업로드 후보_v2/기타/[경상북도교육청]_고등학교_경제교육_교수학습자료(2022).pdf
wave2,2022 개정 교육과정 통합과학과 빌 브라이슨 '거의 모든 것의 역사 융합' 혁신 by Google NotebookLM Slide 자료 3가지 관점,정책_공문,pdf,14.44,/Volumes/Untitled/업로드 후보_v2/기타/2022_개정_교육과정_통합과학과_빌_브라이슨_'거의_모든_것의_역사_융합'_혁신_by_Google_NotebookLM_Slide_자료_3가지_관점.pdf
wave2,2026년 학교는 이렇게 바뀝니다 교육부 주요 정책 총정리 by 별의별 교육연구소 from Youtube to NotebookLM Slide 20260208,정책_공문,pdf,17.28,/Volumes/Untitled/업로드 후보_v2/기타/2026년_학교는_이렇게_바뀝니다_교육부_주요_정책_총정리_by_별의별_교육연구소_from_Youtube_to_NotebookLM_Slide_20260208.pdf
wave2,시교육청 중등교육과-2025 고교학점제 학부모 연수 자료집 인천광역시교육청 고교학점제 지원센터,정책_공문,pdf,18.21,/Volumes/Untitled/업로드 후보_v2/기타/시교육청_중등교육과-2025_고교학점제_학부모_연수_자료집_인천광역시교육청_고교학점제_지원센터.pdf
wave2,2025 미리 보는 중학교 생활 「중학교 가는 길」 경상북도교육청,정책_공문,pdf,19.16,/Volumes/Untitled/업로드 후보_v2/기타/2025_미리_보는_중학교_생활_「중학교_가는_길」_경상북도교육청.pdf
wave2,2022개정 고등학교 과목선택 안내자료(충남교육청),정책_공문,pdf,19.22,/Volumes/Untitled/업로드 후보_v2/기타/2022개정_고등학교_과목선택_안내자료(충남교육청).pdf
wave2,과학탐구(통합과학) 영역 문항 자료집(경기도교육청),정책_공문,pdf,19.67,/Volumes/Untitled/업로드 후보_v2/기타/과학탐구(통합과학)_영역_문항_자료집(경기도교육청).pdf
wave2,2026 고입 파노라마(인천광역시교육청),정책_공문,pdf,21.54,/Volumes/Untitled/업로드 후보_v2/기타/2026_고입_파노라마(인천광역시교육청).pdf
wave2,2025학년 전남교육청 면접자료 정리해DREAM,정책_공문,pdf,23.21,/Volumes/Untitled/업로드 후보_v2/기타/2025학년_전남교육청_면접자료_정리해DREAM.pdf
wave2,★(고등학교)+2022+개정+교육과정+범교과+주제+적용+안내자료,정책_공문,hwp,25.34,/Volumes/Untitled/업로드 후보_v2/기타/★(고등학교)+2022+개정+교육과정+범교과+주제+적용+안내자료.hwp
wave2,3. [교사용] 고교학점제 워크북 수업연계활동자료,정책_공문,pdf,31.42,/Volumes/Untitled/업로드 후보_v2/기타/3._[교사용]_고교학점제_워크북_수업연계활동자료.pdf
wave2,사서와 함께 행복한 책읽기 2025년 가을호 경기도교육청도서관,정책_공문,pdf,31.49,/Volumes/Untitled/업로드 후보_v2/기타/사서와_함께_행복한_책읽기_2025년_가을호_경기도교육청도서관.pdf
wave2,★(중학교)+2022+개정+교육과정+범교과+주제+적용+안내자료,정책_공문,hwp,33.60,/Volumes/Untitled/업로드 후보_v2/기타/★(중학교)+2022+개정+교육과정+범교과+주제+적용+안내자료.hwp
wave2,2024학년도 중1~3학년 학부모 대상 고교학점제 설명회 강의자료,정책_공문,pdf,46.62,/Volumes/Untitled/업로드 후보_v2/기타/2024학년도_중1~3학년_학부모_대상_고교학점제_설명회_강의자료.pdf
wave2,1. [학생용] 고교학점제 워크북,정책_공문,pdf,47.97,/Volumes/Untitled/업로드 후보_v2/기타/1._[학생용]_고교학점제_워크북.pdf
wave2,2. [교사용] 고교학점제 워크북 교사용 가이드,정책_공문,pdf,58.45,/Volumes/Untitled/업로드 후보_v2/기타/2._[교사용]_고교학점제_워크북_교사용_가이드.pdf
wave2,★(초등학교)+2022+개정+교육과정+범교과+주제+적용+안내자료,정책_공문,hwp,60.38,/Volumes/Untitled/업로드 후보_v2/기타/★(초등학교)+2022+개정+교육과정+범교과+주제+적용+안내자료.hwp
wave2,워크북 시즌5,수업_교재,pdf,5.86,/Volumes/Untitled/업로드 후보_v2/기타/워크북_시즌5.pdf
wave2,57번 샘플 공통수학1 중간 서술형 교재 '주도권',수업_교재,pdf,7.12,/Volumes/Untitled/업로드 후보_v2/기타/57번_샘플_공통수학1_중간_서술형_교재_'주도권'.pdf
wave2,(250422)2025. 학교생활기록부 기재 역량강화 연수 강의원고(중마고 박서영),수업_교재,pdf,7.42,/Volumes/Untitled/업로드 후보_v2/기타/(250422)2025._학교생활기록부_기재_역량강화_연수_강의원고(중마고_박서영).pdf
wave2,교과서를 활용한 탐구활동,수업_교재,pdf,7.58,/Volumes/Untitled/업로드 후보_v2/기타/교과서를_활용한_탐구활동.pdf
wave2,깊이있는 수업 소식 다함께 나누다(vol 3) 10월호,수업_교재,pdf,8.50,/Volumes/Untitled/업로드 후보_v2/기타/깊이있는_수업_소식_다함께_나누다(vol_3)_10월호.pdf
wave2,기계공학과 지망생을 위한 학년별 과목 선택 완벽 가이드 NotebookLM Slide,수업_교재,pdf,9.87,/Volumes/Untitled/업로드 후보_v2/기타/기계공학과_지망생을_위한_학년별_과목_선택_완벽_가이드_NotebookLM_Slide.pdf
wave2,2025 중등 교과별 논술형 평가 문항(국어),수업_교재,pdf,10.32,/Volumes/Untitled/업로드 후보_v2/기타/2025_중등_교과별_논술형_평가_문항(국어).pdf
wave2,2025 중등 교과별 논술형 평가 문항(영어),수업_교재,pdf,10.58,/Volumes/Untitled/업로드 후보_v2/기타/2025_중등_교과별_논술형_평가_문항(영어).pdf
wave2,2025 중등 교과별 논술형 평가 문항(수학),수업_교재,pdf,11.18,/Volumes/Untitled/업로드 후보_v2/기타/2025_중등_교과별_논술형_평가_문항(수학).pdf
wave2,1-2. 과목 선택 지도,수업_교재,pdf,11.84,/Volumes/Untitled/업로드 후보_v2/기타/1-2._과목_선택_지도.pdf
wave2,초등미술 4학년 교과서활동지모음집(최종) - 웹용,수업_교재,pdf,13.79,/Volumes/Untitled/업로드 후보_v2/기타/초등미술_4학년_교과서활동지모음집(최종)_-_웹용.pdf
wave2,2025 중등 교과별 논술형 평가 문항(사회),수업_교재,pdf,18.88,/Volumes/Untitled/업로드 후보_v2/기타/2025_중등_교과별_논술형_평가_문항(사회).pdf
wave2,2025 중등 교과별 논술형 평가 문항(과학),수업_교재,pdf,20.75,/Volumes/Untitled/업로드 후보_v2/기타/2025_중등_교과별_논술형_평가_문항(과학).pdf
