id,title,derived_category,file_type,downloads_count,created_at
105,2026 글로벌 첨단기술·미디어·통신(TMT) 산업 전망 by 딜로이트 인사이트 리포트,수업/교재,pdf,0,2026-03-06T08:38:58.618481+00:00
106,2 v0721 바이오리포트 진단및예방 최종,수업/교재,pdf,0,2026-03-06T08:39:00.880825+00:00
107,고1 독서 by 밋mit,수업/교재,pdf,0,2026-03-06T08:39:02.545634+00:00
108,런던 베이글 뮤지엄 시장 분석 및 미래 전략 by Felo Agent Report to PPT 20250818,수업/교재,pptx,0,2026-03-06T08:39:05.808131+00:00
109,202506고속성장분석기(가채점)20250605,수업/교재,xlsx,0,2026-03-06T08:39:08.896744+00:00
110,예비중1학부모설명회,수업/교재,pptx,0,2026-03-06T08:39:32.879079+00:00
111,학교생활기록부기재전략 발표 손선열대입지원관(게재용),수업/교재,pptx,0,2026-03-06T08:40:08.696271+00:00
112,2025학년도 수시 S-file 배포용 new ver2 (1),수업/교재,xlsx,0,2026-03-06T08:40:11.666633+00:00
113,2025학년도 수시 S-file 배포용 new ver4,수업/교재,xlsx,0,2026-03-06T08:40:13.323137+00:00
114,2026학년도 대입 전형 변화 분석 by 유니브클래스 from Youtibe to Gamma(PPT) 20240117,수업/교재,pptx,0,2026-03-06T08:40:15.20858+00:00
115,2025~2021 수시입시결과 대교협발표추가(배포용) 250724,수업/교재,xlsx,0,2026-03-06T08:40:16.716142+00:00
116,2024~2020 5개년 수시입시결과 대교협 발표자료기준(밴드용) 240816,수업/교재,xlsx,0,2026-03-06T08:40:18.095324+00:00
117,2028 대입 개편 체제 분석 및 영역별 학습 전략(통합) by EBSi 20250121,수업/교재,pptx,0,2026-03-06T08:40:19.772692+00:00
118,2026 수시 요강정보(배포용) 250807,수업/교재,xlsx,0,2026-03-06T08:40:21.454729+00:00
119,[이투스] 2026 수시DB검색 ver5,수업/교재,xlsx,0,2026-03-06T08:40:22.822413+00:00
120,2025학년도 2022 개정 교육과정 선택 과목 안내서 보조자료(PPT),수업/교재,pptx,0,2026-03-06T08:40:39.10271+00:00
121,(PPT 파일)고교학점제 도입으로 달라지는 고등학교 생활,수업/교재,pptx,0,2026-03-06T08:40:42.07659+00:00
122,2024학년도 중1~3학년 학부모 대상 고교학점제 설명회 강의자료,수업/교재,pptx,0,2026-03-06T08:40:45.029956+00:00
123,2025학년도 고등학교 학교생활기록부 기재요령 주요 개정사항(강진고 이승미),수업/교재,pptx,0,2026-03-06T08:40:46.795205+00:00
124,4. (조만기) 2026 농어촌(전남교육청),수업/교재,pptx,0,2026-03-06T08:40:48.874585+00:00
