priority,category_hint,src_path,dst_path,size_mb
3,기타,"/Volumes/Untitled/업로드 전/전공이야기_2_자동차의_역학.m4a","/Volumes/Untitled/업로드 후보_v2/기타/전공이야기_2_자동차의_역학.m4a",24.35
3,기타,"/Volumes/Untitled/업로드 전/초등학교 학부모 수학 가이드북(4학년2학기) (2).pdf","/Volumes/Untitled/업로드 후보_v2/기타/초등학교_학부모_수학_가이드북(4학년2학기)_(2).pdf",24.19
3,기타,"/Volumes/Untitled/업로드 전/2026자연계열_자연계열_제시문_면접준비.pdf","/Volumes/Untitled/업로드 후보_v2/기타/2026자연계열_자연계열_제시문_면접준비.pdf",23.93
3,기타,"/Volumes/Untitled/업로드 전/시냅스_전공이야기_영어교육학과.m4a","/Volumes/Untitled/업로드 후보_v2/기타/시냅스_전공이야기_영어교육학과.m4a",23.73
3,기타,"/Volumes/Untitled/업로드 전/2025학년 전남교육청 면접자료 정리해DREAM.pdf","/Volumes/Untitled/업로드 후보_v2/기타/2025학년_전남교육청_면접자료_정리해DREAM.pdf",23.21
3,기타,"/Volumes/Untitled/업로드 전/IB교육의 이해.pptx","/Volumes/Untitled/업로드 후보_v2/기타/IB교육의_이해.pptx",23.06
3,기타,"/Volumes/Untitled/업로드 전/초등미술 3학년_교과서활동지모음집(최종) - 웹용.pdf","/Volumes/Untitled/업로드 후보_v2/기타/초등미술_3학년_교과서활동지모음집(최종)_-_웹용.pdf",23.06
3,기타,"/Volumes/Untitled/업로드 전/시장상황분석_정의와 실제 활용 전략_by felo AI slide_2025004.pdf","/Volumes/Untitled/업로드 후보_v2/기타/시장상황분석_정의와_실제_활용_전략_by_felo_AI_slide_2025004.pdf",22.76
3,기타,"/Volumes/Untitled/업로드 전/2026 고입 파노라마(인천광역시교육청).pdf","/Volumes/Untitled/업로드 후보_v2/기타/2026_고입_파노라마(인천광역시교육청).pdf",21.54
3,기타,"/Volumes/Untitled/업로드 전/초등학교 학부모 수학 가이드북(2학년1학기) (2).pdf","/Volumes/Untitled/업로드 후보_v2/기타/초등학교_학부모_수학_가이드북(2학년1학기)_(2).pdf",21.03
3,기타,"/Volumes/Untitled/업로드 전/전 세계 위인들이 인정한 역사상 최고의 천재_by 범준에 물리다 with 수학자 김상현 교수_from Youtube to NotebookLM Slide_20250531.pdf","/Volumes/Untitled/업로드 후보_v2/기타/전_세계_위인들이_인정한_역사상_최고의_천재_by_범준에_물리다_with_수학자_김상현_교수_from_Youtube_to_NotebookLM_Slide_20250531.pdf",20.91
3,기타,"/Volumes/Untitled/업로드 전/2025 중등 교과별 논술형 평가 문항(과학).pdf","/Volumes/Untitled/업로드 후보_v2/기타/2025_중등_교과별_논술형_평가_문항(과학).pdf",20.75
3,기타,"/Volumes/Untitled/업로드 전/초등학교 학부모 수학 가이드북(3학년1학기) (2).pdf","/Volumes/Untitled/업로드 후보_v2/기타/초등학교_학부모_수학_가이드북(3학년1학기)_(2).pdf",20.64
3,기타,"/Volumes/Untitled/업로드 전/초등학교 학부모 수학 가이드북(2학년2학기) (2).pdf","/Volumes/Untitled/업로드 후보_v2/기타/초등학교_학부모_수학_가이드북(2학년2학기)_(2).pdf",20.41
3,기타,"/Volumes/Untitled/업로드 전/초등학교 학부모 수학 가이드북(3학년2학기) (2).pdf","/Volumes/Untitled/업로드 후보_v2/기타/초등학교_학부모_수학_가이드북(3학년2학기)_(2).pdf",20.35
3,기타,"/Volumes/Untitled/업로드 전/9월 배치참고표(실채점) I 고속성장.xlsx","/Volumes/Untitled/업로드 후보_v2/기타/9월_배치참고표(실채점)_I_고속성장.xlsx",19.75
3,기타,"/Volumes/Untitled/업로드 전/초등학교 학부모 수학 가이드북(1학년2학기) (2).pdf","/Volumes/Untitled/업로드 후보_v2/기타/초등학교_학부모_수학_가이드북(1학년2학기)_(2).pdf",19.74
3,기타,"/Volumes/Untitled/업로드 전/김영일교육컨설팅 2026 수시배치표(자연1면).pdf","/Volumes/Untitled/업로드 후보_v2/기타/김영일교육컨설팅_2026_수시배치표(자연1면).pdf",19.71
3,기타,"/Volumes/Untitled/업로드 전/과학탐구(통합과학) 영역 문항 자료집(경기도교육청).pdf","/Volumes/Untitled/업로드 후보_v2/기타/과학탐구(통합과학)_영역_문항_자료집(경기도교육청).pdf",19.67
3,기타,"/Volumes/Untitled/업로드 전/나와 함께 준비하는 중학생활(수정본).pdf","/Volumes/Untitled/업로드 후보_v2/기타/나와_함께_준비하는_중학생활(수정본).pdf",19.64
3,기타,"/Volumes/Untitled/업로드 전/내신 대비 이대로만 따라하자!!.pdf","/Volumes/Untitled/업로드 후보_v2/기타/내신_대비_이대로만_따라하자!!.pdf",19.52
3,기타,"/Volumes/Untitled/업로드 전/최신_IT현업자 연봉현황_맥비기획톡방_2022-24년 설문결과분석.pdf","/Volumes/Untitled/업로드 후보_v2/기타/최신_IT현업자_연봉현황_맥비기획톡방_2022-24년_설문결과분석.pdf",19.34
3,기타,"/Volumes/Untitled/업로드 전/2022개정 고등학교 과목선택 안내자료(충남교육청).pdf","/Volumes/Untitled/업로드 후보_v2/기타/2022개정_고등학교_과목선택_안내자료(충남교육청).pdf",19.22
3,기타,"/Volumes/Untitled/업로드 전/2025 미리 보는 중학교 생활 「중학교 가는 길」_경상북도교육청.pdf","/Volumes/Untitled/업로드 후보_v2/기타/2025_미리_보는_중학교_생활_「중학교_가는_길」_경상북도교육청.pdf",19.16
