path,filename,ext,size_mb,category_hint,priority
"/Volumes/Untitled/업로드 전/[모두의 진로] 학생용 워크북_중학교_수정본.pdf","[모두의 진로] 학생용 워크북_중학교_수정본.pdf",pdf,36.22,"기타",3
"/Volumes/Untitled/업로드 전/★(중학교)+2022+개정+교육과정+범교과+주제+적용+안내자료.hwp","★(중학교)+2022+개정+교육과정+범교과+주제+적용+안내자료.hwp",hwp,33.60,"기타",3
"/Volumes/Untitled/업로드 전/[현대시] 1권과제장.zip","[현대시] 1권과제장.zip",zip,32.37,"기타",3
"/Volumes/Untitled/업로드 전/사서와 함께 행복한 책읽기_2025년 가을호_경기도교육청도서관.pdf","사서와 함께 행복한 책읽기_2025년 가을호_경기도교육청도서관.pdf",pdf,31.49,"기타",3
"/Volumes/Untitled/업로드 전/3. [교사용] 고교학점제 워크북 수업연계활동자료.pdf","3. [교사용] 고교학점제 워크북 수업연계활동자료.pdf",pdf,31.42,"기타",3
"/Volumes/Untitled/업로드 전/[교과서] 고등 독서와 작문 - 해냄에듀.vol2.egg","[교과서] 고등 독서와 작문 - 해냄에듀.vol2.egg",egg,31.31,"기타",3
"/Volumes/Untitled/업로드 전/2025학년도 2022 개정 교육과정 선택 과목  안내서 보조자료(PPT).pptx","2025학년도 2022 개정 교육과정 선택 과목  안내서 보조자료(PPT).pptx",pptx,31.17,"기타",3
"/Volumes/Untitled/업로드 전/허재성대표님 강의_2주차.pdf","허재성대표님 강의_2주차.pdf",pdf,28.47,"기타",3
"/Volumes/Untitled/업로드 전/[경상북도교육쳥] 중학교 경제교육 학습자료(2022).pdf","[경상북도교육쳥] 중학교 경제교육 학습자료(2022).pdf",pdf,28.11,"기타",3
"/Volumes/Untitled/업로드 전/한국학원대 - 기적의 암기법 강의자료.pdf","한국학원대 - 기적의 암기법 강의자료.pdf",pdf,26.39,"기타",3
"/Volumes/Untitled/업로드 전/전공이야기_1__기계공학.m4a","전공이야기_1__기계공학.m4a",m4a,26.32,"기타",3
"/Volumes/Untitled/업로드 전/2026_수시_대학별_입학설명회_이화성균중앙건국.pdf","2026_수시_대학별_입학설명회_이화성균중앙건국.pdf",pdf,25.85,"기타",3
"/Volumes/Untitled/업로드 전/초등학교 학부모 수학 가이드북(1학년1학기) (2).pdf","초등학교 학부모 수학 가이드북(1학년1학기) (2).pdf",pdf,25.79,"기타",3
"/Volumes/Untitled/업로드 전/런던 베이글 뮤지엄_시장 분석 및 미래 전략_by Felo Agent Report to PPT_20250818.pptx","런던 베이글 뮤지엄_시장 분석 및 미래 전략_by Felo Agent Report to PPT_20250818.pptx",pptx,25.78,"기타",3
"/Volumes/Untitled/업로드 전/★(고등학교)+2022+개정+교육과정+범교과+주제+적용+안내자료.hwp","★(고등학교)+2022+개정+교육과정+범교과+주제+적용+안내자료.hwp",hwp,25.34,"기타",3
